"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,28783,67271,9021,7436,2385,1832,1071,3947,27,1.3690282219387,0,8,0,1003,526,496,1130,228,31,16,1776,524,631,114,14,995,7,0,62,797,3235,255,2711,897,969,89,17,10,1,268,380
12,8736,28733,4454,3674,874,273,464,2548,8,1.18005280366928,0,0,0,137,201,255,711,2,0,3,271,39,63,5,1,436,3,0,27,464,2222,44,1377,390,522,114,8,3,0,129,48
13,14511,45735,7292,5972,1283,1111,1660,3057,9,1.3837046304985,0,0,0,604,672,268,377,175,19,22,1049,77,446,91,4,1585,3,0,73,675,2280,568,2493,951,947,114,8,1,1,76,197
14,12680,45720,11353,9365,708,966,1835,6544,30,1.88584258802445,1,0,4,47,160,284,526,99,65,10,825,350,90,6,0,1658,19,0,164,1422,5668,28,2761,2761,1828,248,26,4,0,108,47
15,8284,26717,7054,5850,805,886,590,4138,4,2.9427003425605,0,1,0,211,64,350,581,63,2,0,850,46,140,6,0,470,3,0,117,750,2716,1063,1949,1174,1344,108,0,4,0,14,14
16,20147,68218,18004,15236,4009,2843,4372,6742,100,3.30963412859262,4,32,15,1440,1336,4908,1867,212,25,41,2657,194,762,17,19,3480,67,1,844,1613,5388,242,4022,4064,4510,722,89,22,20,263,465
17,3481,11693,3410,2714,387,118,721,1700,1,1.92885824952916,0,0,0,142,30,266,227,4,0,0,116,7,10,1,0,656,4,0,61,314,1481,68,387,506,553,77,0,1,0,6,6
18,5179,15613,4999,3932,133,591,397,2983,16,1.63653314687177,1,2,1,5,6,64,124,102,223,107,219,73,85,1,2,272,8,0,118,202,2236,642,816,787,971,6,9,7,0,11,0
19,11790,42964,8558,6994,1193,1300,1969,3591,36,1.76889088973138,0,6,0,271,356,612,770,147,48,17,1212,308,640,14,9,1757,7,0,211,921,2767,240,1976,1633,1504,271,24,12,2,75,166
20,14483,48306,7233,6067,1083,524,1985,3154,25,1.04194037566184,3,3,0,123,285,215,718,106,38,19,437,156,235,17,5,1725,10,1,254,620,2663,112,1743,979,1019,187,25,0,0,280,58
21,10962,30254,4011,3364,897,601,784,1587,9,0.953201328361423,0,0,1,136,135,460,673,30,46,107,493,44,203,3,0,705,0,0,80,420,1317,20,742,796,796,536,4,5,0,87,123
22,11007,37248,5825,5063,1225,1225,1587,2096,26,1.82699316546503,1,6,0,241,512,618,626,131,70,80,1107,140,368,15,6,1239,3,0,354,501,1354,482,1619,1421,1530,231,24,2,6,192,182
23,4500,12982,2292,2065,345,192,638,1048,34,1.67534764477762,0,1,0,19,14,38,313,75,5,3,119,15,25,1,3,573,5,0,59,313,820,26,428,437,445,57,20,17,1,27,135
24,11425,43639,7131,6067,1434,958,1377,3485,35,1.39926750064578,0,5,1,908,384,923,297,110,54,37,846,310,353,3,6,1118,19,0,250,815,2781,276,1215,1505,1754,156,28,10,6,93,104
25,10412,40803,8667,6893,951,1571,3252,2046,51,2.0901242915925,3,4,15,451,421,364,294,182,36,56,1427,183,222,56,6,3016,7,0,236,769,1490,32,1541,1940,1870,104,47,7,18,66,147
26,4127,14422,3003,2463,327,483,654,1321,6,1.47655673922557,0,0,0,29,176,126,134,64,4,2,443,66,30,4,5,567,1,0,87,253,1100,54,803,520,698,66,6,0,0,57,13
