province_ID,poor.JPT.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,HOUSEMEMBER_CNT,province_id,id,province_name,province_name_eng,geo_id,x,y,enName,enAbbr,thName,thAbbr,poor.JPT.CNT.rate,poor.JPT.MOFval.living.rate,poor.JPT.MOFval.education.rate,poor.JPT.MOFval.income.rate,poor.JPT.MOFval.health.rate,poor.JPT.MOFval.accessibility.rate
11,67271,7436,2385,1832,1071,3947,27,543159,2,11,สมุทรปราการ,SamutPrakan,2,4,10,SamutPrakan,SPK,สมุทรปราการ,สป,0.013690282219386956,0.003372861353673602,0.001971798313201107,0.007266748778902678,0.0043909794369604484,0.00004970920117313715
12,28733,3674,874,273,464,2548,8,311342,3,12,นนทบุรี,Nonthaburi,2,2,8,Nonthaburi,NBI,นนทบุรี,นบ,0.011800528036692768,0.000876849252590399,0.0014903225392012642,0.00818392635751039,0.002807202369098933,0.000025695216193125245
13,45735,5972,1283,1111,1660,3057,9,431595,4,13,ปทุมธานี,PathumThani,2,3,8,PathumThani,PTE,ปทุมธานี,ปท,0.013837046304984998,0.002574172546021154,0.003846198403595964,0.007083029228790881,0.0029726943083214588,0.000020852882911062454
14,45720,9365,708,966,1835,6544,30,496595,5,14,พระนครศรีอยุธยา,PhraNakhonSiAyutthaya,2,3,7,PhraNakhonSiAyutthaya,AYA,พระนครศรีอยุธยา,อย,0.018858425880244466,0.0019452471329755635,0.0036951640672983014,0.01317774041220713,0.0014257090788268106,0.00006041140164520384
15,26717,5850,805,886,590,4138,4,198797,6,15,อ่างทอง,AngThong,2,2,7,AngThong,ATG,อ่างทอง,อท,0.029427003425605013,0.004456807698305306,0.002967851627539651,0.020815203448744195,0.004049356881643083,0.000020121027983319667
16,68218,15236,4009,2843,4372,6742,100,460353,7,16,ลพบุรี,LopBuri,2,3,6,LopBuri,LRI,ลพบุรี,ลบ,0.033096341285926235,0.0061756956075012005,0.00949705986492974,0.01464528307624801,0.00870853453762656,0.00021722460807250087
17,11693,2714,387,118,721,1700,1,140705,8,17,สิงห์บุรี,SingBuri,2,2,6,SingBuri,SBR,สิงห์บุรี,สห,0.019288582495291567,0.000838634021534416,0.005124196012934863,0.012082015564478875,0.00275043530791372,0.00000710706797910522
18,15613,3932,133,591,397,2983,16,240264,9,18,ชัยนาท,ChaiNat,2,1,6,ChaiNat,CNT,ชัยนาท,ชน,0.016365331468717745,0.002459794226351014,0.0016523490826757235,0.012415509606099957,0.0005535577531382146,0.00006659341391136417
19,42964,6994,1193,1300,1969,3591,36,395389,10,19,สระบุรี,Saraburi,2,4,7,Saraburi,SRI,สระบุรี,สบ,0.017688908897313785,0.0032879012820285847,0.0049799058648571405,0.009082195002895883,0.0030172817149693087,0.0000910495739638685
20,48306,6067,1083,524,1985,3154,25,582279,11,20,ชลบุรี,ChonBuri,5,4,9,ChonBuri,CBI,ชลบุรี,ชบ,0.01041940375661839,0.0008999122413825675,0.003409018700657245,0.005416647346031713,0.0018599331248422147,0.00004293474434077135
21,30254,3364,897,601,784,1587,9,352916,12,21,ระยอง,Rayong,5,5,10,Rayong,RYG,ระยอง,รย,0.009532013283614232,0.0017029548107765022,0.002221491799748382,0.004496820773215156,0.002541681306599871,0.00002550181912976459
22,37248,5063,1225,1225,1587,2096,26,277122,13,22,จันทบุรี,Chanthaburi,5,6,10,Chanthaburi,CTI,จันทบุรี,จบ,0.0182699316546503,0.00442043576475343,0.0057267196397254635,0.007563455806467909,0.00442043576475343,0.00009382149378252178
23,12982,2065,345,192,638,1048,34,123258,14,23,ตราด,Trat,5,6,11,Trat,TRT,ตราด,ตร,0.016753476447776208,0.0015577082217787081,0.005176134611952166,0.008502490710542114,0.002799006961008616,0.0002758441642733129
24,43639,6067,1434,958,1377,3485,35,433584,15,24,ฉะเชิงเทรา,Chachoengsao,5,5,9,Chachoengsao,CCO,ฉะเชิงเทรา,ฉช,0.013992675006457803,0.002209491125133769,0.003175855197608768,0.008037658216170338,0.0033073176131960588,0.0000807225358869331
25,40803,6893,951,1571,3252,2046,51,329789,16,25,ปราจีนบุรี,PrachinBuri,5,5,8,PrachinBuri,PRI,ปราจีนบุรี,ปจ,0.02090124291592503,0.004763651910767187,0.009860850422542899,0.006203966778758539,0.0028836619778100543,0.00015464433319486095
26,14422,2463,327,483,654,1321,6,166807,17,26,นครนายก,NakhonNayok,2,4,8,NakhonNayok,NYK,นครนายก,นย,0.014765567392255721,0.002895561936849173,0.003920698771634284,0.007919331922521236,0.001960349385817142,0.00003596971350123196
